"city","AVPP"
"Antofagasta",5719.84799725647
"Arica",5363.76992980356
"Chillán",5688.84312491658
"Copiapo",4869.37811352527
"Coyhaique",6334.98769317677
"Gran Concepcion",5475.95461554959
"Gran Coquimbo",4420.78309247616
"Gran Santiago",4546.21063333515
"Iquique - Alto Hospicio",7040.87748741309
"Puerto Montt - Varas",6243.92020432905
"Punta Arenas",5982.61742758704
"Rancagua - Machalí",5324.40158230589
"Talca - Maule",5043.18866773396
"Temuco",4948.09111912083
"Valdivia",5694.17694692451
"Valparaíso Metropolitano",4416.59209941744
"Antofagasta",5243.66538212325
"Arica",4898.64864864865
"Chillán",5757.29695551593
"Copiapo",4247.58303416285
"Coyhaique",5863.42509831963
"Gran Concepcion",5675.83255472929
"Gran Coquimbo",3985.43149499889
"Gran Santiago",4417.02479730621
"Iquique - Alto Hospicio",7082.16870592155
"Puerto Montt - Varas",5429.15249189071
"Punta Arenas",6341.79939733104
"Rancagua - Machalí",6554.31705952269
"Talca - Maule",5160.53484382234
"Temuco",5270.98886028127
"Valdivia",5375.26074555491
"Valparaíso Metropolitano",4639.20852238317
"Antofagasta",5187.51825822418
"Arica",5005.2929288609
"Chillán",5667.62041907455
"Copiapo",4949.16020185283
"Coyhaique",5309.99470764647
"Gran Concepcion",4243.36173835043
"Gran Coquimbo",4384.10261739686
"Gran Santiago",4502.05278031684
"Iquique - Alto Hospicio",4528.04959581839
"Puerto Montt - Varas",5564.25622827346
"Punta Arenas",5804.40127121185
"Rancagua - Machalí",5641.51248283106
"Talca - Maule",8913.3889372705
"Temuco",4831.36029305812
"Valdivia",5261.8990672088
"Valparaíso Metropolitano",4900.06264931523
"Antofagasta",4752.78378753895
"Arica",4552.29017738946
"Chillán",5142.57550695795
"Copiapo",4482.99400486734
"Coyhaique",3976.83248101658
"Gran Concepcion",4662.82373436339
"Gran Coquimbo",4159.58561285066
"Gran Santiago",4280.84796071717
"Iquique - Alto Hospicio",4526.84509602399
"Puerto Montt - Varas",6165.74829182279
"Punta Arenas",5433.25407174452
"Rancagua - Machalí",5882.09453523107
"Talca - Maule",4735.37728101987
"Temuco",4508.12134127392
"Valdivia",4495.34567513858
"Valparaíso Metropolitano",4358.27280685369
"Antofagasta",4923.70169023082
"Arica",4792.0040671499
"Chillán",5520.45326451307
"Copiapo",4672.19346726321
"Coyhaique",4905.83406850524
"Gran Concepcion",4702.77464839917
"Gran Coquimbo",3881.87555071418
"Gran Santiago",4306.90739598009
"Iquique - Alto Hospicio",4743.35576831139
"Puerto Montt - Varas",6396.55276114209
"Punta Arenas",5750.27335836646
"Rancagua - Machalí",5330.50218650837
"Talca - Maule",4139.1353182229
"Temuco",4986.57159460351
"Valdivia",4954.3135980979
"Valparaíso Metropolitano",4537.08816491809
"Antofagasta",5837.5349420868
"Arica",4452.46690734055
"Chillán",5419.78185405646
"Copiapo",4714.18794798833
"Coyhaique",4474.77834943899
"Gran Concepcion",4901.64382880306
