"agno";"city";"AVPP"
2018;"Antofagasta";4226,24259627162
2018;"Arica";4454,14532398084
2018;"Chillán";4149,63686836094
2018;"Copiapo";3863,01836558299
2018;"Coyhaique";3558,28865762641
2018;"Gran Concepcion";3790,95096646433
2018;"Gran Coquimbo";3538,398877275
2018;"Gran Santiago";3681,85057204195
2018;"Iquique - Alto Hospicio";4114,32210811241
2018;"Puerto Montt - Varas";3821,76456758111
2018;"Punta Arenas";4159,05042663908
2018;"Rancagua - Machalí";4706,07365350804
2018;"Talca - Maule";4234,62472258218
2018;"Temuco";3811,16496750224
2018;"Valdivia";3697,18309859155
2018;"Valparaíso Metropolitano";4018,32525134351
