"comuna","nom_com","city","AVPP"
1101,"Iquique","Iquique - Alto Hospicio",7040.87748741309
2101,"Antofagasta","Antofagasta",5719.84799725647
3101,"Copiapó","Copiapo",4869.37811352527
4101,"La Serena","Gran Coquimbo",4469.85381964209
4102,"Coquimbo","Gran Coquimbo",4372.79800352319
5101,"Valparaíso","Valparaíso Metropolitano",4879.71016662425
5103,"Concón","Valparaíso Metropolitano",4079.09850060535
5109,"Viña del Mar","Valparaíso Metropolitano",4108.08849941496
5801,"Quilpué","Valparaíso Metropolitano",4276.52115449263
5804,"Villa Alemana","Valparaíso Metropolitano",4324.39944835844
6101,"Rancagua","Rancagua - Machalí",5339.02629718582
6108,"Machalí","Rancagua - Machalí",5216.06436845391
7101,"Talca","Talca - Maule",5242.16609227127
7105,"Maule","Talca - Maule",2677.93804681958
8101,"Concepción","Gran Concepcion",4896.80441537962
8102,"Coronel","Gran Concepcion",6146.14468156261
8103,"Chiguayante","Gran Concepcion",4221.98521569637
8106,"Lota","Gran Concepcion",6045.70140383236
8107,"Penco","Gran Concepcion",5189.78213840876
8108,"San Pedro de la Paz","Gran Concepcion",3738.39839272288
8110,"Talcahuano","Gran Concepcion",7417.2031001663
8111,"Tomé","Gran Concepcion",4954.18153757114
9101,"Temuco","Temuco",4955.28955240844
9112,"Padre Las Casas","Temuco",4918.36255741442
10101,"Puerto Montt","Puerto Montt - Varas",6639.47723688838
10109,"Puerto Varas","Puerto Montt - Varas",4090.89505696378
11101,"Coihaique","Coyhaique",6334.98769317677
12101,"Punta Arenas","Punta Arenas",5982.61742758704
13101,"Santiago","Gran Santiago",4693.68683706009
13102,"Cerrillos","Gran Santiago",6071.36264890883
13103,"Cerro Navia","Gran Santiago",5638.07111092951
13104,"Conchalí","Gran Santiago",5230.20641246803
13105,"El Bosque","Gran Santiago",4708.65996282485
13106,"Estación Central","Gran Santiago",6288.08189129905
13107,"Huechuraba","Gran Santiago",4144.548521052
13108,"Independencia","Gran Santiago",8731.28350483702
13109,"La Cisterna","Gran Santiago",4354.64077858644
13110,"La Florida","Gran Santiago",3995.11677399132
13111,"La Granja","Gran Santiago",5447.50351402554
13112,"La Pintana","Gran Santiago",5169.056840783
13113,"La Reina","Gran Santiago",3165.50136425648
13114,"Las Condes","Gran Santiago",2614.45049057714
13115,"Lo Barnechea","Gran Santiago",3106.21108904027
13116,"Lo Espejo","Gran Santiago",5505.48502184222
13117,"Lo Prado","Gran Santiago",5337.37015985452
13118,"Macul","Gran Santiago",3632.18687726031
13119,"Maipú","Gran Santiago",3659.98914868004
13120,"Ñuñoa","Gran Santiago",3499.8352553542
13121,"Pedro Aguirre Cerda","Gran Santiago",5884.38783384632
13122,"Peñalolén","Gran Santiago",4672.28442802724
13123,"Providencia","Gran Santiago",4116.14846771794
13124,"Pudahuel","Gran Santiago",5177.31542463649
13125,"Quilicura","Gran Santiago",3762.33187320864
13126,"Quinta Normal","Gran Santiago",5686.51389932382
13127,"Recoleta","Gran Santiago",5742.28397099803
13128,"Renca","Gran Santiago",5046.91306047575
13129,"San Joaquín","Gran Santiago",4338.60035845986
13130,"San Miguel","Gran Santiago",6621.64166026341
13131,"San Ramón","Gran Santiago",6205.54099588169
13132,"Vitacura","Gran Santiago",2191.98111997537
13201,"Puente Alto","Gran Santiago",3626.2509429218
13401,"San Bernardo","Gran Santiago",4994.61464331123
14101,"Valdivia","Valdivia",5694.17694692451
15101,"Arica","Arica",5363.76992980356
16101,"Chillán","Chillán",5268.50606903645
16102,"Bulnes","Chillán",9855.81670946079
16103,"Chillán Viejo","Chillán",3353.68632096965
16301,"San Carlos","Chillán",6544.30019128241
16305,"San Nicolás","Chillán",4914.57498418055
1101,"Iquique","Iquique - Alto Hospicio",7082.16870592155
2101,"Antofagasta","Antofagasta",5243.66538212325
3101,"Copiapó","Copiapo",4247.58303416285
4101,"La Serena","Gran Coquimbo",4232.69071627793
4102,"Coquimbo","Gran Coquimbo",3743.73846559452
5101,"Valparaíso","Valparaíso Metropolitano",5764.89725260786
5103,"Concón","Valparaíso Metropolitano",2893.99853622835
5109,"Viña del Mar","Valparaíso Metropolitano",4578.43656255514
5801,"Quilpué","Valparaíso Metropolitano",3679.95186293604
5804,"Villa Alemana","Valparaíso Metropolitano",3525.70828961175
6101,"Rancagua","Rancagua - Machalí",6712.252042007
6108,"Machalí","Rancagua - Machalí",5447.82708217521
7101,"Talca","Talca - Maule",5124.96406229863
7105,"Maule","Talca - Maule",5546.58919733161
8101,"Concepción","Gran Concepcion",5636.61524458768
8102,"Coronel","Gran Concepcion",5549.17444364681
8103,"Chiguayante","Gran Concepcion",3920.94318558231
8106,"Lota","Gran Concepcion",6122.02387151874
8107,"Penco","Gran Concepcion",5402.80420850012
8108,"San Pedro de la Paz","Gran Concepcion",4209.68556561777
8110,"Talcahuano","Gran Concepcion",7564.15524261328
8111,"Tomé","Gran Concepcion",5219.92888064317
9101,"Temuco","Temuco",5260.97629683287
9112,"Padre Las Casas","Temuco",5311.99525332103
10101,"Puerto Montt","Puerto Montt - Varas",5601.63348872023
10109,"Puerto Varas","Puerto Montt - Varas",4484.62929475588
11101,"Coihaique","Coyhaique",5863.42509831963
12101,"Punta Arenas","Punta Arenas",6341.79939733104
13101,"Santiago","Gran Santiago",4606.97079261573
13102,"Cerrillos","Gran Santiago",4771.11540941328
13103,"Cerro Navia","Gran Santiago",5338.80481472093
13104,"Conchalí","Gran Santiago",5550.24495160712
13105,"El Bosque","Gran Santiago",4828.37276890389
13106,"Estación Central","Gran Santiago",5486.86045815114
13107,"Huechuraba","Gran Santiago",4903.83607588303
13108,"Independencia","Gran Santiago",7901.91146123605
13109,"La Cisterna","Gran Santiago",4434.26366869612
13110,"La Florida","Gran Santiago",4068.85372018903
13111,"La Granja","Gran Santiago",4016.50872702958
13112,"La Pintana","Gran Santiago",4503.60603420221
13113,"La Reina","Gran Santiago",3175.97482263829
13114,"Las Condes","Gran Santiago",2898.10834768937
13115,"Lo Barnechea","Gran Santiago",3469.21075455334
13116,"Lo Espejo","Gran Santiago",5936.75712043059
13117,"Lo Prado","Gran Santiago",4888.11831870953
13118,"Macul","Gran Santiago",4237.25678774876
13119,"Maipú","Gran Santiago",3370.30681009585
13120,"Ñuñoa","Gran Santiago",2671.45778632208
13121,"Pedro Aguirre Cerda","Gran Santiago",5070.36460847952
13122,"Peñalolén","Gran Santiago",5063.33161282071
13123,"Providencia","Gran Santiago",3974.1202927135
13124,"Pudahuel","Gran Santiago",4280.81675329506
13125,"Quilicura","Gran Santiago",3278.05687695431
13126,"Quinta Normal","Gran Santiago",4851.07356698829
13127,"Recoleta","Gran Santiago",6008.34436285213
13128,"Renca","Gran Santiago",5437.06059840366
13129,"San Joaquín","Gran Santiago",4928.41837210025
13130,"San Miguel","Gran Santiago",7718.59270065318
13131,"San Ramón","Gran Santiago",5492.84227785836
13132,"Vitacura","Gran Santiago",2762.08492037118
13201,"Puente Alto","Gran Santiago",3574.07558274699
13401,"San Bernardo","Gran Santiago",5262.09205087377
14101,"Valdivia","Valdivia",5375.26074555491
15101,"Arica","Arica",4898.64864864865
16101,"Chillán","Chillán",5716.93638564284
16102,"Bulnes","Chillán",7728.87062435015
16103,"Chillán Viejo","Chillán",4171.10874200426
16301,"San Carlos","Chillán",5725.23753211271
16305,"San Nicolás","Chillán",6177.08333333333
1101,"Iquique","Iquique - Alto Hospicio",6484.73318154883
1107,"Alto Hospicio","Iquique - Alto Hospicio",48.5527011010039
2101,"Antofagasta","Antofagasta",5187.51825822418
3101,"Copiapó","Copiapo",4949.16020185283
4101,"La Serena","Gran Coquimbo",4372.69439204047
4102,"Coquimbo","Gran Coquimbo",4395.24958466154
5101,"Valparaíso","Valparaíso Metropolitano",6262.94708107244
5103,"Concón","Valparaíso Metropolitano",3109.44527736132
5109,"Viña del Mar","Valparaíso Metropolitano",4215.67322578159
5801,"Quilpué","Valparaíso Metropolitano",4411.89142610944
5804,"Villa Alemana","Valparaíso Metropolitano",4394.99304589708
