"agno";"comuna";"nom_com";"city";"AVPP"
2014;1101;"Iquique";"Iquique - Alto Hospicio";5271,22263457892
2014;1107;"Alto Hospicio";"Iquique - Alto Hospicio";4115,44102448003
2014;2101;"Antofagasta";"Antofagasta";4798,19557005544
2014;3101;"Copiapó";"Copiapo";4431,60176003152
2014;4101;"La Serena";"Gran Coquimbo";4454,61464899783
2014;4102;"Coquimbo";"Gran Coquimbo";3721,67594002438
2014;5101;"Valparaíso";"Valparaíso Metropolitano";4551,48871610089
2014;5103;"Concón";"Valparaíso Metropolitano";3171,54596815614
2014;5109;"Viña del Mar";"Valparaíso Metropolitano";4004,15528601571
2014;5801;"Quilpué";"Valparaíso Metropolitano";3715,87479947138
2014;5804;"Villa Alemana";"Valparaíso Metropolitano";3500,07367663757
2014;6101;"Rancagua";"Rancagua - Machalí";5095,59896203153
2014;6108;"Machalí";"Rancagua - Machalí";3579,61704500857
2014;7101;"Talca";"Talca - Maule";4090,88540309552
2014;7105;"Maule";"Talca - Maule";3096,54768870685
2014;8101;"Concepción";"Gran Concepcion";4290,29671210906
2014;8102;"Coronel";"Gran Concepcion";4808,97319763414
2014;8103;"Chiguayante";"Gran Concepcion";3743,55793090284
2014;8106;"Lota";"Gran Concepcion";5958,36324479541
2014;8107;"Penco";"Gran Concepcion";4117,8775083794
2014;8108;"San Pedro de la Paz";"Gran Concepcion";4276,37434660884
2014;8110;"Talcahuano";"Gran Concepcion";4503,62313951449
2014;8111;"Tomé";"Gran Concepcion";4186,62778587794
2014;8112;"Hualpén";"Gran Concepcion";4264,17998279842
2014;9101;"Temuco";"Temuco";4232,96429243386
2014;9112;"Padre Las Casas";"Temuco";4973,01518680185
2014;10101;"Puerto Montt";"Puerto Montt - Varas";4961,12266821267
2014;10109;"Puerto Varas";"Puerto Montt - Varas";3821,21241233548
2014;11101;"Coihaique";"Coyhaique";4596,9198848087
2014;12101;"Punta Arenas";"Punta Arenas";4905,73932074379
2014;13101;"Santiago";"Gran Santiago";3033,28732070077
2014;13102;"Cerrillos";"Gran Santiago";5121,19649303765
2014;13103;"Cerro Navia";"Gran Santiago";5466,25497585857
2014;13104;"Conchalí";"Gran Santiago";5851,84643272287
2014;13105;"El Bosque";"Gran Santiago";5450,41494162265
2014;13106;"Estación Central";"Gran Santiago";4769,10541078396
2014;13107;"Huechuraba";"Gran Santiago";4244,67812259554
2014;13108;"Independencia";"Gran Santiago";5696,75925925926
2014;13109;"La Cisterna";"Gran Santiago";3518,31363186397
2014;13110;"La Florida";"Gran Santiago";3516,4571310512
2014;13111;"La Granja";"Gran Santiago";5182,68738261909
2014;13112;"La Pintana";"Gran Santiago";5792,84290061916
2014;13113;"La Reina";"Gran Santiago";2937,29930708129
2014;13114;"Las Condes";"Gran Santiago";1982,93087040428
2014;13115;"Lo Barnechea";"Gran Santiago";2405,92791364274
2014;13116;"Lo Espejo";"Gran Santiago";6491,75473114136
2014;13117;"Lo Prado";"Gran Santiago";4169,02310195806
2014;13118;"Macul";"Gran Santiago";3412,56830601093
2014;13119;"Maipú";"Gran Santiago";3124,993924217
2014;13120;"Ñuñoa";"Gran Santiago";2613,63094386417
2014;13121;"Pedro Aguirre Cerda";"Gran Santiago";5660,66262813599
2014;13122;"Peñalolén";"Gran Santiago";4297,58204979338
2014;13123;"Providencia";"Gran Santiago";2620,05937947647
2014;13124;"Pudahuel";"Gran Santiago";4444,26545670958
2014;13125;"Quilicura";"Gran Santiago";4062,7894851404
2014;13126;"Quinta Normal";"Gran Santiago";4825,16881405144
2014;13127;"Recoleta";"Gran Santiago";5429,91069901119
2014;13128;"Renca";"Gran Santiago";5245,48216855909
2014;13129;"San Joaquín";"Gran Santiago";4564,23285098862
2014;13130;"San Miguel";"Gran Santiago";3824,00935989409
2014;13131;"San Ramón";"Gran Santiago";5680,26546945149
2014;13132;"Vitacura";"Gran Santiago";2639,74555428218
2014;13201;"Puente Alto";"Gran Santiago";4210,72710991164
2014;13401;"San Bernardo";"Gran Santiago";4853,02719843466
2014;14101;"Valdivia";"Valdivia";4551,21963718356
2014;15101;"Arica";"Arica";4705,53067112056
2014;16101;"Chillán";"Chillán";4658,16375982804
2014;16102;"Bulnes";"Chillán";4147,82779634362
2014;16103;"Chillán Viejo";"Chillán";3691,76372712146
2014;16301;"San Carlos";"Chillán";3997,84008639654
2014;16305;"San Nicolás";"Chillán";1602,26201696513
