"agno";"comuna";"nom_com";"city";"dato"
"2010";1101;"Iquique";"Iquique - Alto Hospicio";48,7
"2010";1107;"Alto Hospicio";"Iquique - Alto Hospicio";43,8
"2010";2101;"Antofagasta";"Antofagasta";48,6
"2010";3101;"Copiapó";"Copiapo";48,6
"2010";4101;"La Serena";"Gran Coquimbo";47,9
"2010";4102;"Coquimbo";"Gran Coquimbo";49
"2010";5101;"Valparaíso";"Valparaíso Metropolitano";48,5
"2010";5103;"Concón";"Valparaíso Metropolitano";51,8
"2010";5109;"Viña del Mar";"Valparaíso Metropolitano";47,3
"2010";5801;"Quilpué";"Valparaíso Metropolitano";47,6
"2010";5804;"Villa Alemana";"Valparaíso Metropolitano";44,3
"2010";6101;"Rancagua";"Rancagua - Machalí";45,2
"2010";6108;"Machalí";"Rancagua - Machalí";41,8
"2010";7101;"Talca";"Talca - Maule";48,7
"2010";7105;"Maule";"Talca - Maule";53,3
"2010";8101;"Concepción";"Gran Concepcion";48,3
"2010";8102;"Coronel";"Gran Concepcion";51,5
"2010";8103;"Chiguayante";"Gran Concepcion";48
"2010";8106;"Lota";"Gran Concepcion";50,4
"2010";8107;"Penco";"Gran Concepcion";50,3
"2010";8108;"San Pedro de la Paz";"Gran Concepcion";49,7
"2010";8110;"Talcahuano";"Gran Concepcion";48,3
"2010";8111;"Tomé";"Gran Concepcion";48,7
"2010";8112;"Hualpén";"Gran Concepcion";49,9
"2010";9101;"Temuco";"Temuco";49,2
"2010";9112;"Padre Las Casas";"Temuco";48,4
"2010";10101;"Puerto Montt";"Puerto Montt - Varas";54,1
"2010";10109;"Puerto Varas";"Puerto Montt - Varas";53,5
"2010";11101;"Coihaique";"Coyhaique";50,4
"2010";12101;"Punta Arenas";"Punta Arenas";50,8
"2010";13101;"Santiago";"Gran Santiago";48,3
"2010";13102;"Cerrillos";"Gran Santiago";42,4
"2010";13103;"Cerro Navia";"Gran Santiago";47,3
"2010";13104;"Conchalí";"Gran Santiago";44
"2010";13105;"El Bosque";"Gran Santiago";46,7
"2010";13106;"Estación Central";"Gran Santiago";47,7
"2010";13107;"Huechuraba";"Gran Santiago";52,2
"2010";13108;"Independencia";"Gran Santiago";48,9
"2010";13109;"La Cisterna";"Gran Santiago";44,6
"2010";13110;"La Florida";"Gran Santiago";47,9
"2010";13111;"La Granja";"Gran Santiago";45,8
"2010";13112;"La Pintana";"Gran Santiago";44,9
"2010";13113;"La Reina";"Gran Santiago";45,7
"2010";13114;"Las Condes";"Gran Santiago";46,1
"2010";13115;"Lo Barnechea";"Gran Santiago";48,1
"2010";13116;"Lo Espejo";"Gran Santiago";49,9
"2010";13117;"Lo Prado";"Gran Santiago";42,8
"2010";13118;"Macul";"Gran Santiago";46,6
"2010";13119;"Maipú";"Gran Santiago";47,3
"2010";13120;"Ñuñoa";"Gran Santiago";45
"2010";13121;"Pedro Aguirre Cerda";"Gran Santiago";48
"2010";13122;"Peñalolén";"Gran Santiago";47,9
"2010";13123;"Providencia";"Gran Santiago";45,4
"2010";13124;"Pudahuel";"Gran Santiago";49,7
"2010";13125;"Quilicura";"Gran Santiago";43
"2010";13126;"Quinta Normal";"Gran Santiago";50,4
"2010";13127;"Recoleta";"Gran Santiago";49,3
"2010";13128;"Renca";"Gran Santiago";49
"2010";13129;"San Joaquín";"Gran Santiago";43,5
"2010";13130;"San Miguel";"Gran Santiago";46
"2010";13131;"San Ramón";"Gran Santiago";45,4
"2010";13132;"Vitacura";"Gran Santiago";44,4
"2010";13201;"Puente Alto";"Gran Santiago";47,3
"2010";13401;"San Bernardo";"Gran Santiago";46,8
"2010";14101;"Valdivia";"Valdivia";52,3
"2010";15101;"Arica";"Arica";46,6
"2010";16101;"Chillán";"Chillán";48,5
"2010";16102;"Bulnes";"Chillán";50,2
"2010";16103;"Chillán Viejo";"Chillán";50,7
"2010";16301;"San Carlos";"Chillán";49,4
"2010";16305;"San Nicolás";"Chillán";51,9
