"comuna","nom_com","city","percent"
1101,"Iquique","Iquique - Alto Hospicio",45.8
1107,"Alto Hospicio","Iquique - Alto Hospicio",44.3
2101,"Antofagasta","Antofagasta",43.6
3101,"Copiapó","Copiapo",47.3
4101,"La Serena","Gran Coquimbo",47.7
4102,"Coquimbo","Gran Coquimbo",47.9
5101,"Valparaíso","Valparaíso Metropolitano",51.2
5103,"Concón","Valparaíso Metropolitano",47.1
5109,"Viña del Mar","Valparaíso Metropolitano",47.9
5801,"Quilpué","Valparaíso Metropolitano",43.7
5804,"Villa Alemana","Valparaíso Metropolitano",43.3
6101,"Rancagua","Rancagua - Machalí",46.1
6108,"Machalí","Rancagua - Machalí",40.6
7101,"Talca","Talca - Maule",45.9
7105,"Maule","Talca - Maule",43
8101,"Concepción","Gran Concepcion",47.6
8102,"Coronel","Gran Concepcion",47.8
8103,"Chiguayante","Gran Concepcion",49.7
8106,"Lota","Gran Concepcion",48.1
8107,"Penco","Gran Concepcion",49.2
8108,"San Pedro de la Paz","Gran Concepcion",49.1
8110,"Talcahuano","Gran Concepcion",51.4
8111,"Tomé","Gran Concepcion",48.8
8112,"Hualpén","Gran Concepcion",49.4
9101,"Temuco","Temuco",49
9112,"Padre Las Casas","Temuco",48.9
10101,"Puerto Montt","Puerto Montt - Varas",54.1
10109,"Puerto Varas","Puerto Montt - Varas",50.3
11101,"Coihaique","Coyhaique",55.7
12101,"Punta Arenas","Punta Arenas",55.4
13101,"Santiago","Gran Santiago",46.3
13102,"Cerrillos","Gran Santiago",47.2
13103,"Cerro Navia","Gran Santiago",46.8
13104,"Conchalí","Gran Santiago",44.3
13105,"El Bosque","Gran Santiago",43.8
13106,"Estación Central","Gran Santiago",42.8
13107,"Huechuraba","Gran Santiago",38.9
13108,"Independencia","Gran Santiago",47.4
13109,"La Cisterna","Gran Santiago",42.5
13110,"La Florida","Gran Santiago",44.4
13111,"La Granja","Gran Santiago",44.8
13112,"La Pintana","Gran Santiago",45.3
13113,"La Reina","Gran Santiago",45.8
13114,"Las Condes","Gran Santiago",40.3
