"agno";"comuna";"nom_com";"city";"dato"
"2014";1101;"Iquique";"Iquique - Alto Hospicio";48
"2014";1107;"Alto Hospicio";"Iquique - Alto Hospicio";50,6
"2014";2101;"Antofagasta";"Antofagasta";49,9
"2014";3101;"Copiapó";"Copiapo";49,5
"2014";4101;"La Serena";"Gran Coquimbo";50,5
"2014";4102;"Coquimbo";"Gran Coquimbo";50
"2014";5101;"Valparaíso";"Valparaíso Metropolitano";51,9
"2014";5103;"Concón";"Valparaíso Metropolitano";53,6
"2014";5109;"Viña del Mar";"Valparaíso Metropolitano";50,8
"2014";5801;"Quilpué";"Valparaíso Metropolitano";46,9
"2014";5804;"Villa Alemana";"Valparaíso Metropolitano";48,7
"2014";6101;"Rancagua";"Rancagua - Machalí";50,5
"2014";6108;"Machalí";"Rancagua - Machalí";46,6
"2014";7101;"Talca";"Talca - Maule";52,8
"2014";7105;"Maule";"Talca - Maule";47,8
"2014";8101;"Concepción";"Gran Concepcion";51,9
"2014";8102;"Coronel";"Gran Concepcion";51,4
"2014";8103;"Chiguayante";"Gran Concepcion";53,5
"2014";8106;"Lota";"Gran Concepcion";55
"2014";8107;"Penco";"Gran Concepcion";54,9
"2014";8108;"San Pedro de la Paz";"Gran Concepcion";51,8
"2014";8110;"Talcahuano";"Gran Concepcion";53,3
"2014";8111;"Tomé";"Gran Concepcion";53,3
"2014";8112;"Hualpén";"Gran Concepcion";55,1
"2014";9101;"Temuco";"Temuco";54,4
"2014";9112;"Padre Las Casas";"Temuco";47,2
"2014";10101;"Puerto Montt";"Puerto Montt - Varas";50,4
"2014";10109;"Puerto Varas";"Puerto Montt - Varas";49,4
"2014";11101;"Coihaique";"Coyhaique";55,2
"2014";12101;"Punta Arenas";"Punta Arenas";55,2
"2014";13101;"Santiago";"Gran Santiago";48,5
"2014";13102;"Cerrillos";"Gran Santiago";53,2
"2014";13103;"Cerro Navia";"Gran Santiago";48,1
"2014";13104;"Conchalí";"Gran Santiago";50,8
"2014";13105;"El Bosque";"Gran Santiago";51,4
"2014";13106;"Estación Central";"Gran Santiago";51,1
"2014";13107;"Huechuraba";"Gran Santiago";50,2
"2014";13108;"Independencia";"Gran Santiago";50,1
"2014";13109;"La Cisterna";"Gran Santiago";48,9
"2014";13110;"La Florida";"Gran Santiago";48,9
"2014";13111;"La Granja";"Gran Santiago";49,8
"2014";13112;"La Pintana";"Gran Santiago";51,1
"2014";13113;"La Reina";"Gran Santiago";50,9
"2014";13114;"Las Condes";"Gran Santiago";46,3
"2014";13115;"Lo Barnechea";"Gran Santiago";47
"2014";13116;"Lo Espejo";"Gran Santiago";53,6
"2014";13117;"Lo Prado";"Gran Santiago";51,3
"2014";13118;"Macul";"Gran Santiago";53,3
"2014";13119;"Maipú";"Gran Santiago";50,9
"2014";13120;"Ñuñoa";"Gran Santiago";48,3
"2014";13121;"Pedro Aguirre Cerda";"Gran Santiago";47,6
"2014";13122;"Peñalolén";"Gran Santiago";50,7
"2014";13123;"Providencia";"Gran Santiago";45,3
"2014";13124;"Pudahuel";"Gran Santiago";50,9
"2014";13125;"Quilicura";"Gran Santiago";47,3
"2014";13126;"Quinta Normal";"Gran Santiago";49,3
"2014";13127;"Recoleta";"Gran Santiago";48,5
"2014";13128;"Renca";"Gran Santiago";53
"2014";13129;"San Joaquín";"Gran Santiago";53,5
"2014";13130;"San Miguel";"Gran Santiago";47,8
"2014";13131;"San Ramón";"Gran Santiago";48,5
"2014";13132;"Vitacura";"Gran Santiago";42,2
"2014";13201;"Puente Alto";"Gran Santiago";50,1
"2014";13401;"San Bernardo";"Gran Santiago";46,9
"2014";14101;"Valdivia";"Valdivia";54,7
"2014";15101;"Arica";"Arica";47,9
"2014";16101;"Chillán";"Chillán";57,5
"2014";16102;"Bulnes";"Chillán";43,7
"2014";16103;"Chillán Viejo";"Chillán";53,9
"2014";16301;"San Carlos";"Chillán";56,8
"2014";16305;"San Nicolás";"Chillán";37,1
