"comuna";"city";"Hacinados";"agno"
"01101";"Iquique - Alto Hospicio";11,1;2017
"01107";"Iquique - Alto Hospicio";16,2;2017
"02101";"Antofagasta";9;2017
"03101";"Copiapo";8,4;2017
"04101";"Gran Coquimbo";5,5;2017
"04102";"Gran Coquimbo";6,7;2017
"05101";"Valparaíso Metropolitano";6,7;2017
"05103";"Valparaíso Metropolitano";4,7;2017
"05109";"Valparaíso Metropolitano";4,8;2017
"05801";"Valparaíso Metropolitano";4,3;2017
"05804";"Valparaíso Metropolitano";4,6;2017
"06101";"Rancagua - Machalí";5,4;2017
"06108";"Rancagua - Machalí";4,2;2017
"07101";"Talca - Maule";5,8;2017
"07105";"Talca - Maule";9,1;2017
"08101";"Gran Concepcion";5;2017
"08102";"Gran Concepcion";7,2;2017
"08103";"Gran Concepcion";5,5;2017
"08106";"Gran Concepcion";8,4;2017
"08107";"Gran Concepcion";8,3;2017
"08108";"Gran Concepcion";6,3;2017
"08110";"Gran Concepcion";6,1;2017
"08111";"Gran Concepcion";6,1;2017
"08112";"Gran Concepcion";6,2;2017
"09101";"Temuco";6,7;2017
"09112";"Temuco";9,2;2017
"10101";"Puerto Montt - Varas";6,4;2017
"10109";"Puerto Montt - Varas";5,5;2017
"11101";"Coyhaique";7,6;2017
"12101";"Punta Arenas";5,3;2017
"13101";"Gran Santiago";11,2;2017
"13102";"Gran Santiago";9,5;2017
"13103";"Gran Santiago";14,8;2017
"13104";"Gran Santiago";12,2;2017
"13105";"Gran Santiago";11,2;2017
"13106";"Gran Santiago";13,6;2017
"13107";"Gran Santiago";9,1;2017
"13108";"Gran Santiago";15,8;2017
"13109";"Gran Santiago";7,1;2017
"13110";"Gran Santiago";6,2;2017
"13111";"Gran Santiago";11,8;2017
"13112";"Gran Santiago";14,1;2017
"13113";"Gran Santiago";3,6;2017
"13114";"Gran Santiago";1,8;2017
"13115";"Gran Santiago";3,9;2017
"13116";"Gran Santiago";14,1;2017
"13117";"Gran Santiago";12,7;2017
"13118";"Gran Santiago";6,7;2017
"13119";"Gran Santiago";5,3;2017
"13120";"Gran Santiago";2,7;2017
"13121";"Gran Santiago";11,7;2017
"13122";"Gran Santiago";9,5;2017
"13123";"Gran Santiago";2,2;2017
"13124";"Gran Santiago";9;2017
"13125";"Gran Santiago";7,7;2017
"13126";"Gran Santiago";10,4;2017
"13127";"Gran Santiago";15,2;2017
"13128";"Gran Santiago";11,6;2017
"13129";"Gran Santiago";11,1;2017
"13130";"Gran Santiago";5,9;2017
"13131";"Gran Santiago";14,9;2017
"13132";"Gran Santiago";0,7;2017
"13201";"Gran Santiago";7,1;2017
"13401";"Gran Santiago";10,2;2017
"14101";"Valdivia";6;2017
"15101";"Arica";9,9;2017
"16101";"Chillán";5,7;2017
"16102";"Chillán";6,3;2017
"16103";"Chillán";7;2017
"16301";"Chillán";6;2017
"16305";"Chillán";6,5;2017
