"codcomuna","dato"
1101,71.16
1107,66.42
2101,70.79
3101,66.26
4101,54.76
4102,68.47
5101,79.84
5103,45.14
5109,65.95
5801,72.05
5804,54.01
6101,72.1
6108,51.83
7101,53.65
7105,42.47
8101,60.18
8102,67.59
8103,45.01
8106,66.32
8107,76.18
8108,57.84
8110,66.67
8111,55.41
8112,54.3
9101,56.56
9112,69.56
10101,59.17
10109,57.19
11101,52.33
12101,67.53
13101,56.35
13102,65.06
13103,80.11
13104,62.87
13105,78.05
13106,52.39
13107,59.47
13108,71.11
13109,48.05
13110,48.51
13111,78.31
13112,86.5
13113,33.07
13114,25.32
13115,25.38
13116,88.6
13117,71.12
13118,43.99
13119,55.95
13120,45.14
13121,87.55
13122,55.31
13123,43.49
13124,67.49
13125,52.12
13126,72.2
13127,72.93
13128,76.71
13129,70.72
13130,66.25
13131,93.2
13132,19.24
13201,60.61
13401,77.4
14101,58.82
15101,70.33
16101,74.3
16102,72.47
16103,49.77
16301,88.23
16305,50.41
