"codcomuna","dato"
1101,7040.87748741309
2101,5719.84799725647
3101,4869.37811352527
4101,4469.85381964209
4102,4372.79800352319
5101,4879.71016662425
5103,4079.09850060535
5109,4108.08849941496
5801,4276.52115449263
5804,4324.39944835844
6101,5339.02629718582
6108,5216.06436845391
7101,5242.16609227127
7105,2677.93804681958
8101,4896.80441537962
8102,6146.14468156261
8103,4221.98521569637
8106,6045.70140383236
8107,5189.78213840876
8108,3738.39839272288
8110,7417.2031001663
8111,4954.18153757114
9101,4955.28955240844
9112,4918.36255741442
10101,6639.47723688838
10109,4090.89505696378
11101,6334.98769317677
12101,5982.61742758704
13101,4693.68683706009
13102,6071.36264890883
13103,5638.07111092951
13104,5230.20641246803
13105,4708.65996282485
13106,6288.08189129905
13107,4144.548521052
13108,8731.28350483702
13109,4354.64077858644
13110,3995.11677399132
13111,5447.50351402554
13112,5169.056840783
13113,3165.50136425648
13114,2614.45049057714
13115,3106.21108904027
13116,5505.48502184222
13117,5337.37015985452
13118,3632.18687726031
13119,3659.98914868004
13120,3499.8352553542
13121,5884.38783384632
13122,4672.28442802724
13123,4116.14846771794
13124,5177.31542463649
13125,3762.33187320864
13126,5686.51389932382
13127,5742.28397099803
13128,5046.91306047575
13129,4338.60035845986
13130,6621.64166026341
13131,6205.54099588169
13132,2191.98111997537
13201,3626.2509429218
13401,4994.61464331123
14101,5694.17694692451
15101,5363.76992980356
16101,5268.50606903645
16102,9855.81670946079
16103,3353.68632096965
16301,6544.30019128241
16305,4914.57498418055
1101,7082.16870592155
2101,5243.66538212325
3101,4247.58303416285
4101,4232.69071627793
4102,3743.73846559452
5101,5764.89725260786
5103,2893.99853622835
5109,4578.43656255514
5801,3679.95186293604
5804,3525.70828961175
6101,6712.252042007
6108,5447.82708217521
7101,5124.96406229863
7105,5546.58919733161
8101,5636.61524458768
8102,5549.17444364681
8103,3920.94318558231
8106,6122.02387151874
8107,5402.80420850012
8108,4209.68556561777
8110,7564.15524261328
8111,5219.92888064317
9101,5260.97629683287
9112,5311.99525332103
10101,5601.63348872023
10109,4484.62929475588
11101,5863.42509831963
12101,6341.79939733104
13101,4606.97079261573
13102,4771.11540941328
13103,5338.80481472093
13104,5550.24495160712
13105,4828.37276890389
13106,5486.86045815114
13107,4903.83607588303
13108,7901.91146123605
13109,4434.26366869612
13110,4068.85372018903
13111,4016.50872702958
13112,4503.60603420221
13113,3175.97482263829
13114,2898.10834768937
13115,3469.21075455334
13116,5936.75712043059
13117,4888.11831870953
13118,4237.25678774876
13119,3370.30681009585
13120,2671.45778632208
13121,5070.36460847952
13122,5063.33161282071
13123,3974.1202927135
13124,4280.81675329506
13125,3278.05687695431
13126,4851.07356698829
13127,6008.34436285213
13128,5437.06059840366
13129,4928.41837210025
13130,7718.59270065318
13131,5492.84227785836
13132,2762.08492037118
13201,3574.07558274699
13401,5262.09205087377
14101,5375.26074555491
15101,4898.64864864865
16101,5716.93638564284
16102,7728.87062435015
16103,4171.10874200426
16301,5725.23753211271
16305,6177.08333333333
1101,6484.73318154883
1107,48.5527011010039
2101,5187.51825822418
3101,4949.16020185283
4101,4372.69439204047
4102,4395.24958466154
5101,6262.94708107244
5103,3109.44527736132
5109,4215.67322578159
5801,4411.89142610944
5804,4394.99304589708
6101,5704.91468179305
6108,5218.81871960851
7101,9315.03329973716
7105,4920.93114625282
8101,5623.75040684428
8102,4830.69385780099
8103,4236.14516920059
8106,6597.72885871979
8107,6045.27938342967
8108,4141.4005300274
8110,1955.35483382638
8111,5199.37375572608
8112,1614.55544432286
9101,4748.96449349965
9112,5166.06960496669
10101,5481.71602475303
10109,6018.66847265982
11101,5309.99470764647
12101,5804.40127121185
13101,4466.22578105167
13102,5002.21827861579
13103,5818.27219130987
13104,6112.22143748028
13105,4784.64724497394
13106,5401.53756206532
13107,4359.46022072568
