"codcomuna","grado","dato"
1101,"1° Básico",50.8
1101,"Kínder",51
1107,"1° Básico",49.7
1107,"Kínder",57.6
2101,"1° Básico",47.2
2101,"Kínder",51.3
3101,"1° Básico",55.4
3101,"Kínder",50.4
4101,"1° Básico",51.3
4101,"Kínder",53.8
4102,"1° Básico",55.4
4102,"Kínder",54.3
5101,"1° Básico",54.1
5101,"Kínder",52.3
5103,"1° Básico",48.2
5103,"Kínder",55
5109,"1° Básico",53.5
5109,"Kínder",53.8
5801,"1° Básico",51.3
5801,"Kínder",51.8
5804,"1° Básico",50.3
5804,"Kínder",51.7
6101,"1° Básico",55.8
6101,"Kínder",47.6
6108,"1° Básico",50.9
6108,"Kínder",55.6
7101,"1° Básico",53.2
7101,"Kínder",52.2
7105,"1° Básico",58
7105,"Kínder",53.3
8101,"1° Básico",58
8101,"Kínder",56.7
8102,"1° Básico",53.4
8102,"Kínder",56.8
8103,"1° Básico",56.8
8103,"Kínder",59.5
8106,"1° Básico",66.3
8106,"Kínder",61.5
8107,"1° Básico",48.9
8107,"Kínder",56.1
8108,"1° Básico",46.2
8108,"Kínder",51.1
8110,"1° Básico",45.8
8110,"Kínder",54
8111,"1° Básico",54.1
8111,"Kínder",61.2
8112,"1° Básico",62.4
8112,"Kínder",53.6
9101,"1° Básico",54.3
9101,"Kínder",57.1
9112,"1° Básico",52.8
9112,"Kínder",61.5
10101,"1° Básico",55
10101,"Kínder",56.6
10109,"1° Básico",48.1
10109,"Kínder",60
11101,"1° Básico",51
11101,"Kínder",54.8
12101,"1° Básico",49.9
12101,"Kínder",51.3
13101,"1° Básico",42.8
13101,"Kínder",45.2
13102,"1° Básico",50.6
13102,"Kínder",54
13103,"1° Básico",55.5
13103,"Kínder",54.4
13104,"1° Básico",58.1
13104,"Kínder",55.7
13105,"1° Básico",56.7
13105,"Kínder",51.4
13106,"1° Básico",49.1
13106,"Kínder",50.9
13107,"1° Básico",44.4
13107,"Kínder",45.9
13108,"1° Básico",49.5
13108,"Kínder",49.1
13109,"1° Básico",43.5
13109,"Kínder",49.9
13110,"1° Básico",54.4
13110,"Kínder",51.1
13111,"1° Básico",61
13111,"Kínder",55.7
13112,"1° Básico",53.5
13112,"Kínder",49.9
13113,"1° Básico",43.8
13113,"Kínder",50.6
13114,"1° Básico",42.3
13114,"Kínder",46.9
13115,"1° Básico",55.7
13115,"Kínder",52.7
13116,"1° Básico",56.3
13116,"Kínder",55.8
13117,"1° Básico",60.2
13117,"Kínder",50.6
13118,"1° Básico",54.6
13118,"Kínder",47.3
13119,"1° Básico",49.3
13119,"Kínder",50
13120,"1° Básico",47.2
13120,"Kínder",48.3
13121,"1° Básico",49.8
13121,"Kínder",46.4
13122,"1° Básico",61.5
13122,"Kínder",50.1
13123,"1° Básico",43.8
13123,"Kínder",45.8
13124,"1° Básico",60.9
13124,"Kínder",54.8
13125,"1° Básico",49.8
13125,"Kínder",52
13126,"1° Básico",42.3
13126,"Kínder",49.1
13127,"1° Básico",50.6
13127,"Kínder",49.5
13128,"1° Básico",52.6
13128,"Kínder",55.8
13129,"1° Básico",44.5
13129,"Kínder",49
13130,"1° Básico",46.3
13130,"Kínder",45.4
13131,"1° Básico",45.4
13131,"Kínder",53.2
13132,"1° Básico",35.4
13132,"Kínder",48.8
13201,"1° Básico",54.6
13201,"Kínder",53.7
13401,"1° Básico",50.5
13401,"Kínder",50.7
14101,"1° Básico",54.2
14101,"Kínder",49.6
15101,"1° Básico",47.8
15101,"Kínder",50.5
16101,"1° Básico",59.1
16101,"Kínder",52.3
16102,"1° Básico",58.3
16102,"Kínder",51.7
16103,"1° Básico",63.5
16103,"Kínder",59.9
16301,"1° Básico",47.5
16301,"Kínder",55.2
16305,"1° Básico",61.4
16305,"Kínder",51.2
