"codcomuna","dato"
1101,48.7
1107,43.8
2101,48.6
3101,48.6
4101,47.9
4102,49
5101,48.5
5103,51.8
5109,47.3
5801,47.6
5804,44.3
6101,45.2
6108,41.8
7101,48.7
7105,53.3
8101,48.3
8102,51.5
8103,48
8106,50.4
8107,50.3
8108,49.7
8110,48.3
8111,48.7
8112,49.9
9101,49.2
9112,48.4
10101,54.1
10109,53.5
11101,50.4
12101,50.8
13101,48.3
13102,42.4
13103,47.3
13104,44
13105,46.7
13106,47.7
13107,52.2
13108,48.9
13109,44.6
13110,47.9
13111,45.8
13112,44.9
13113,45.7
13114,46.1
13115,48.1
13116,49.9
13117,42.8
13118,46.6
13119,47.3
13120,45
13121,48
13122,47.9
13123,45.4
13124,49.7
13125,43
13126,50.4
13127,49.3
13128,49
13129,43.5
13130,46
13131,45.4
13132,44.4
13201,47.3
13401,46.8
14101,52.3
15101,46.6
16101,48.5
16102,50.2
16103,50.7
16301,49.4
16305,51.9
